"","text"
"244","@TheZoneCLE @Raptors I don‚Äôt f them"
"245","@Drake can we get a remix for the @Raptors ‚ÄúStarted From The Top Now We Here‚Äù #CAVs4-0"
"246","Down 28 I don't think the @Raptors are coming back. Maybe next year #WeTheNorth In January I had a choice put $20 d‚Ä¶ https://t.co/Z2PEWeCTO9"
"247","Told ya months ago the Raptors wasn‚Äôt shit"
"248","Toronto raptors shud be banned from the play-offs even if they have the best regular season record in the entire planet!!!"
"249","My last RT is EXACTLY why I refuse to cheer for the Raptors.. idk what it is but since Vince left (yes including Bo‚Ä¶ https://t.co/jiLaICnBl0"
"250","Sad to see the baby raptors go down like this, wish this team was more of a threat. Maybe next year?"
"251","RT @shaqtin: This series in a nutshell for the Raptors... Ì†ΩÌ∏¨ #Shaqtin https://t.co/nVAvD2ddnh"
"252","RT @fullcourtprez: At this point the Raptors could go 77-5 next season and I think they‚Äôre still getting swept by LeBron"
"253","RT @Yem_Yeezy: The Raptors are pathetic. And y‚Äôall had the nerve to think they were going somewhere this year lmao"
"254","RT @TheNBABulletin: Can‚Äôt believe Toronto fans had me convinced that the raptors were actually good. Y‚Äôall are a hypnotizing bunch. I don‚Äôt‚Ä¶"
"255","RT @MRosa41: How the hell are the Raptors a one seed?Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"256","RT @KingCujo____: ""This raptors team is different. They go 10 deep and DeMar Demoralized hits 3s now"" https://t.co/mwDDxrE0KI"
"257","The Toronto Raptors just can‚Äôt wait to dance in Drake next video. I understand why they didn‚Äôt want to advance Ì†ΩÌ∏èÌ†ΩÌ∏è @NBAonTNT"
"258","What a dominant performance to sweep the Raptors. Bring on the Celtics. #WhateverItTakes"
"259","RT @stephenasmith: Damn! @Raptors getting their butts whupped. Still won‚Äôt double @KingJames. Look like they‚Äôve quit. Could cost Dwayne Cas‚Ä¶"
