"","text"
"48","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"49","Practice series for the Cavs"
"50","Warriors still beating the Cavs in 5 maybe 6Ì†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏è"
"51","This is really how we ending the season? 

#1 Seed
Best Franchise Record
DeRozan Breaks VCs record
#BenchMob domina‚Ä¶ https://t.co/RJbJxxkEI9"
"52","@BleacherReport The cavs really fucked Toronto in the ass"
"53","RT @mcten: One year ago today, DeMar DeRozan said ""if we had LeBron on our team, we would have won,"" after the Cavs swept Toronto. Tonight,‚Ä¶"
"54","RT @TheSaferMan: Me looking for all the people that had the hot take of the Raptors beating the Cavs in this playoff series. https://t.co/a‚Ä¶"
"55","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"56","Raptors got more talent than the Pacers and didn‚Äôt even come close to the Cavs this series. Time to get Dwayne Casey out the paint"
"57","One last live look at the Toronto Raptors bench tonight Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£
#Cavs #NBA #NBAPlayoffs2018 @cavs https://t.co/MuJJqyEZ5K"
"58","RT @BriiiCarter: Where is ‚ÄúCavs not making it past the Raptors‚Äù Twitter? https://t.co/eyHvnNguWC"
"59","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"60","@benromanmusic @cavs To you. I tried to like it and I watched it when I was younger and I fell asleep watching this ‚Äúsport.‚Äù"
"61","RT @TheOfficial_80: Dear Demar Derozen &amp; Kyle Lowry, 

Follow in KD‚Äôs footsteps and join the Cavs this off-season. 

Sincerely, 
Majority o‚Ä¶"
"62","@FantasyLabsNBA #NBAPlayoffs Cavs Is Cleveland this good or are the #Raptors that bad?  I think when the #Cavs adva‚Ä¶ https://t.co/RCYCUV77NZ"
"63","Bron really coaching the Cavs he pointed out his substitution just now lol"
"64","RT @ScottCacciola: If I'm the Cavs, I put the Roomba in for the final 8 minutes."
"65","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"66","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"67","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"68","RT @mikelecouteur: Has the #NBA ever called a game after 3 quarters to stop wasting everyone‚Äôs time? #Raptors #Cavs"
"69","RT @BGordon96: Whoever wins this series between Cavs and Pacers they just get the joy of getting beat by the Raptors in the second round Ì†ΩÌ∏äÌ†ΩÌπÉ"
"70","Raptors looking like slaves who didn‚Äôt have a choice 
#Cavs"
"71","I swear I can coach up a better gameplan against the Cavs"
"72","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"73","Cavs are such a *miserable* matchup for Toronto."
"74","what's so funny on the @Raptors bench? must be making their off-season plans again after this demolition #Cavs #Cleveland #IranDeal"
"75","@kyle_arch37 @celtics I https://t.co/KVB4gwYF0Q not be shocked if the NBA finds a way to get that Cavs/76ers match‚Ä¶ https://t.co/XNRhoaXhNS"
"76","Are we winning this series against the Cavs?Ì†ΩÌ∏Ç https://t.co/hmYcGffP0I"
"77","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"78","Los cavs venian jugando horrible,faltos de confianza y Toronto fiel a su historia, les regalo los cuatro partidos p‚Ä¶ https://t.co/remhNTKn0l"
"79","RT @bo_ricks: Recap of the cavs/raptors series.... https://t.co/7mMosNNtJZ"
"80","Cavs lang makakasweep dis series Ì†ΩÌ≤™Ì†ΩÌ±è"
"81","The cavs wouldn't even beat the Jazz"
"82","Cavs leaving lebron on the floor for the fourth is tasteless"
"83","Lebron hits a jumper, looks to the bench and calls for a sub. 

In case you need a reminder who coaches the Cavs."
"84","Go Cavs @ Quicken Loans Arena https://t.co/w7elUmWNkJ"
"85","RT @LBJ23_Fan: Throwback to this gem of a quote from LeBron. 

I don‚Äôt think those reporters took him seriously, but the #4 seed Cavs just‚Ä¶"
"86","Cavs tonight https://t.co/X5Uee32NaK"
"87","RT @isaiassuazo223: @Raptors @cavs @nbcsnl  https://t.co/OJZWg6A75z"
"88","O Cavs s√≥ vai torcendo pros 76ers dar mais uma cansada no Celtics  enquanto aproveita essa varrida"
"89","RT @CLEsportsTalk: Cavs- 100
Raptors- 72

End of the third. #WhateverItTakes"
"90","RT @FredTJoseph: Lmfao, I‚Äôm mad #SNL never ran this Donald Glover skit about Lebron and the Cavs https://t.co/3ePdBj3FBO"
"91","Why the Cavs beating them like this it‚Äôs kids watching"
"92","@stephenasmith @Raptors @KingJames Raptors just weak againstLBJ#Cavs!"
"93","Cavs up 986154284949947262629299463525262992"
"94","RT @D_boogie2: bbq chicken https://t.co/ITSQbGhirV"
"95","@Raptors @cavs I wonder if @Drake is watching the game? 2nd time @KingJames has SWEPT the #1 seed in the playoffs #sweep @NBAonTNT"
"96","RT @mcten: One year ago today, DeMar DeRozan said ""if we had LeBron on our team, we would have won,"" after the Cavs swept Toronto. Tonight,‚Ä¶"
"97","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"98","Just like I told @NickCaminoWTAM on the pregame....Cavs by 30...Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†æÌ¥™Ì†æÌ¥™"
"99","The Cavs Thompson does good things. The right team can go after a title w him. The cavs are we dont need him"
"100","RT @TheFakeESPN: Kyle Lowry, Tia Mowry, DeMar DeRozan, Olaf from Frozen, Doesn‚Äôt matter. Cavs in 4. https://t.co/WwUbdwXqcj"
"101","Capaz do meu cavs ser campe√£o esse ano ainda, se ficar assim LeBron p√µe Harden ou qualquer outro q enfrentar no bolso"
"102","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"103","RT @TeamLeBron_: Here comes the annual ‚ÄúCavs won‚Äôt make the Finals! This is the Raptors‚Äô year‚Äù

To ‚Äúthe east is wack‚Äù

Smdh Ì†æÌ¥¶Ì†ºÌøº‚Äç‚ôÇÔ∏è"
"104","Que surra o meu @cavs  t√° dando num tal de Toronto kkkkkkkk #CavaliersVsRaptors #ClevelandCavaliers"
"105","Lol cavs up 30."
"106","RT @CLEsportsTalk: Cavs lead Raptors 110-80 with under 8 minutes to play. Timeout Cavs. 

Here comes the Cavalier JV squad."
"107","Where‚Äôs the shots of fans in Jurassic Park now, @NBAonTNT?! #Cavs"
"108","@HPbasketball Well, you weren‚Äôt the only one thinking that the Raps could finally take down a vulnerable Cavs team"
"109","Who really thought the Raptors were going to beat the Cavs??! Ì†ΩÌ∏Ç"
"110","@itsdeucee_ @NerdyMcFlyGuy He trolling. He didn‚Äôt even think the Cavs was gonna make it out the first round"
"111","@RobssonT @cavs Acho que s√≥ trocariam ap√≥s um pedido do pr√≥prio."
"112","I have to ask: since we agree that the Cavs got weaker, did the east get weaker as well?"
"113","@Ricky_Rick_86 @BigDogDudley @Raptors Coach Lue is an idiot man.
Cavs up 28 points in the 4th n he got Bron in the‚Ä¶ https://t.co/5TjisVR70Z"
"114","Watching #Cavs #Raptors like: https://t.co/kHyYFr4MSN"
"115","East Finals, celtics o sixers? Lezzgo Cavs"
"116","RT @HeatvsHaters: Seriously, how deflating is this:
First, You get swept by LeBron &amp; Cavs

Next season, you get a franchise record in wins.‚Ä¶"
"117","This the best version of the Cavs.. this is how they need to play to even compete in the finals"
"118","CAVSÌ†ºÌøÄ"
"119","RT @cavs: Ì†ΩÌ∏Ø #WhateverItTakes https://t.co/6abNW1LlVn"
"120","RT @RealSkipBayless: The Cavs will sweep the Raptors."
"121","Tuvo @KingJames que hacerle la se√±a para que lo sacara #abusador Lue #nba #nbaplayoffs @nba @cavs"
"122","RT @CLEsportsTalk: Cavs lead Raptors 110-80 with under 8 minutes to play. Timeout Cavs. 

Here comes the Cavalier JV squad."
"123","RT @guddahkin: i wholeheartedly believe if the warriors played a 7 game series wearing raptors jerseys the cavs win in 5"
